TICKER,ISIN,INDUSTRY,TR_ANALYTICCO2,TR_ANALYTICTOTALWASTE,TR_ENVPRODUCTS,TR_ANALYTICENVRND,TR_ANALYTICWATERUSE,TR_ANALYTICENERGYUSE,TR_POLICYHUMANRIGHTS,TR_POLICYRESPONSIBLEMARKETING,TR_PRODUCTQUALITYMONITORING,TR_POLICYDATAPRIVACY,TR_WOMENEMPLOYEES,TR_AVGTRAININGHOURS,TR_TRADEUNIONREP,TR_ANALYTICLOSTDAYS
ACLU,BP5NXWKDHTI6,Professional and commercial services,,,,0.82,,0.77,,,,,,0.30,0.80,0.35
ACPG,GGNH41MHH747,Passenger transportation services,0.47,,0.20,0.36,,,0.17,0.86,0.83,,0.29,0.17,,
ACTT,DMXYVXWG1LS6,Personal and household,0.28,,,0.54,,,0.61,0.35,0.90,,0.84,,0.77,0.78
ACU,ABUOZA8VDG99,Leisure products,0.69,,0.94,0.46,,,0.36,0.26,0.08,0.20,,,0.81,0.34
ACWO,HLV69856AJI8,Food and tobacco,,,0.88,,0.45,,0.84,,0.04,0.05,,0.95,0.94,0.18
ADBE,PMPDKDN6KOV3,Electronic equipment and parts,,0.00,,0.07,,,,,0.06,0.55,,,,
ADCL,SUXMZ1EY3UX1,Food and drug retailing,0.13,,,0.53,,0.57,,0.41,,,0.74,0.56,,0.39
ADF,THQ6LJHL4TL6,Construction materials,0.78,,,,0.48,,0.82,,0.99,,0.22,,0.27,0.19
ADI,VQ66DYNXZAC4,Food and drug retailing,0.21,0.46,0.18,0.96,,0.26,0.39,0.87,0.29,0.91,,,0.52,
ADKP,VK17B9ZQB3B9,Automobiles and auto parts,,,,,0.57,0.90,0.88,,0.97,0.25,,,0.88,
ADO,DJHRYWEWRU55,Household goods,,0.98,,0.68,0.66,0.55,0.14,,,0.11,0.07,0.98,,
ADR,WBP5CTNG3C89,Office equipment,,,,,,,0.00,,,0.47,,0.95,0.63,
ADS,DWH6SU11PHW3,Healthcare providers and services,,,,0.72,0.05,,,,,0.24,,,0.41,0.72
ADS,NBARQUC46QR5,Insurance,,,,0.70,0.03,,,0.94,,0.90,0.82,,0.18,0.61
ADXI,ELK2SRS6M9L8,Communications and networking,0.46,,,,0.93,,0.46,,0.88,,0.33,0.18,0.96,0.51
ADZ,NF76MB4QURQ2,Leisure products,,0.17,,0.62,0.15,,0.48,0.71,,,,0.77,0.03,0.15
AECJ,KPU6PZ06M5Q3,Chemicals,,,0.22,,,0.39,,0.91,0.83,0.32,,,,0.72
AECR,CVEMEG1NGMP5,Containers and packaging,0.27,0.00,,0.02,0.48,0.80,,0.04,0.77,0.01,0.84,0.62,0.45,0.77
AEF,AIX6OAD66PH0,Household goods,0.16,0.07,,,0.22,,0.41,,0.01,0.71,0.60,,,
AEGT,OMZQI0TDQ6M0,Food and tobacco,,,0.66,,0.03,,,0.04,0.29,0.94,,,,
AEI,SKR9J84VTBU7,Diversified industries,0.05,0.34,0.47,,0.15,0.83,0.34,0.05,0.97,0.75,,,,0.08
AEI,TH2U1Q1NTRZ1,Investment holding companies,0.09,,,0.19,0.55,0.76,0.52,0.02,,,0.46,0.58,0.18,0.53
AEKV,UJ78189MV681,Natural gas utilities,0.85,0.49,,0.41,0.08,0.90,,0.08,,,,,,0.52
AEM,QS32LEEUHUO4,Water and related utilities,0.96,0.06,0.35,,,,0.69,0.53,0.61,0.79,,,0.51,0.06
AENZ,YK5IHQQ76CI3,Construction and engineering,0.77,0.85,0.00,,0.72,,0.96,0.98,0.56,0.51,0.88,0.72,,0.61
AEO,MOQXEY5G4FO1,Containers and packaging,0.92,,,0.00,,,0.78,,0.32,0.48,0.86,,,0.09
AEP,VTKS3TE2DGZ7,Oil and gas,0.85,,0.89,,0.94,0.58,,0.57,,0.09,0.71,,,
AER,CCWIZ1Q98VS0,Automobiles and auto parts,0.07,0.68,0.37,0.94,0.03,0.18,0.05,,,,,,0.88,0.78
AERY,KB2MTHG5M8Q7,Biotechnology and medical research,0.94,0.93,0.78,,0.67,,,,0.13,,,0.25,,0.59
AETI,VKOHKYEJGPM5,"Machinery, tools, heavy vehicles, trains and ships",,,,0.41,0.25,0.18,,0.85,0.73,,,0.27,,
AETP,OS1VQNY7BAY5,Food and tobacco,0.19,,,1.00,0.31,0.17,0.12,0.05,1.00,,0.32,0.77,0.71,
AEUE,REHIG2QDWTE2,Media and publishing,0.18,0.97,0.80,,0.15,0.65,0.76,0.92,0.74,0.65,0.51,,0.41,
AEW,GXMGU3U4Z0U0,Natural gas utilities,0.61,0.02,0.44,,0.79,0.20,,0.05,0.11,,,,,
AEWN,MO1UH3YZY6D8,Semiconductors,0.24,,,,,0.65,0.63,,0.25,0.38,,0.04,,0.73
AEX,NN4XWFMS66O0,Biotechnology and medical research,0.61,,0.68,0.91,,0.53,0.79,0.17,0.93,,,0.75,,
AFAO,UB7UL0I4V0F1,Investment holding companies,,,0.85,0.84,,,0.52,,0.83,0.84,,,0.43,0.90
AFBS,VK40Y0WP6H37,Pharmaceuticals,,,,,,,,0.01,0.45,0.24,0.92,0.82,,
AFCS,PT44U1MTZSH9,Automobiles and auto parts,,0.90,0.18,0.06,,0.05,,,0.07,,0.17,0.77,,
AFDY,RY2SUDPG8XY3,Food and drug retailing,0.71,,,,,0.83,0.11,,0.31,0.04,0.49,0.03,,
AFF,HODLJJYIB8J6,Communications and networking,,,0.19,0.11,,0.87,,,0.22,,,0.42,0.38,
AFFV,SD07MGJRA8F6,Diversified retail,0.29,0.63,0.63,0.70,0.90,,0.58,0.43,,,,,0.09,
AFHR,TRDF7BYQZ4I5,Healthcare providers and services,,0.87,0.61,,0.35,0.73,,,,,0.82,0.22,0.91,0.24
AFI,OS36MI6RJNX2,Chemicals,0.41,,,,0.76,,,,0.13,,0.59,,0.63,
AFK,XB19ODZFJO65,Natural gas utilities,,0.89,0.70,0.07,0.87,0.45,,0.49,0.51,0.90,0.58,0.86,0.82,
AFL,SOR6RA8IPV14,Telecommunications services,,,0.47,,,,,,0.11,,,0.31,0.90,
AFL,NX35YCHBYN65,Beverages,0.25,0.13,0.77,0.91,0.48,0.09,,,0.63,0.94,,,0.02,
AFL,NYZQWAY4RZ21,Household goods,,,0.79,0.04,0.71,,,0.23,0.03,,0.94,,0.36,0.32
AFM,EJ4P49TMSFA7,Communications and networking,0.21,0.22,0.78,0.57,0.85,,0.70,0.10,,,0.13,,,
AFRQ,MJ933WZRQAT2,Biotechnology and medical research,0.64,,,0.26,,0.28,0.65,,0.02,,,,0.79,0.31
AFSD,ME2ETZRO0KD0,Personal and household,0.35,0.96,0.12,0.55,0.18,,,,0.93,,,,,
AFT,UKQBIBKIVFS5,Insurance,0.98,,0.75,0.12,,,,,0.46,,0.38,0.39,0.30,
AFT,LMUNG7ORDQK8,Healthcare equipment and supplies,,0.89,,,0.50,,,0.31,,,,,,0.82
AFU,SJ6HTFCI3AI6,Automobiles and auto parts,0.27,,,0.02,0.80,,0.81,0.44,0.20,0.61,0.79,0.42,0.88,0.62
AFV,QZTMSWK2X366,Biotechnology and medical research,,,,0.82,,0.41,0.20,0.48,,0.09,0.15,,,
AFWE,GS94KDJJAOM2,Investment holding companies,,,,0.15,0.93,,0.08,,0.71,,0.73,,0.81,0.09
AFXU,ZNWHQPBNJIX1,Passenger transportation services,0.10,,,0.72,0.94,,0.40,,0.63,,0.95,0.79,0.49,
AGA,MJZB1619QVJ6,Telecommunications services,,0.64,,0.63,0.21,,0.34,0.08,0.62,,0.96,,0.01,0.69
AGAV,KA1KSEJWCN89,Specialty retailers,,0.29,0.29,0.50,,,,0.73,0.02,0.69,,,,0.92
AGBA,BZKAE6L80TI5,Hotels and entertainment services,,,0.08,0.19,,0.49,0.91,,0.22,0.99,,,,0.82
AGBH,AP4F0FGTH961,Leisure products,,,,,,0.27,0.89,0.64,,0.45,,0.49,0.49,1.00
AGCN,AL1ORWSHKGU2,Oil and gas,0.28,0.71,,0.39,0.63,0.21,0.19,0.09,,,0.78,0.08,,0.34
AGD,DA1RK71WW171,Communications and networking,,,,0.52,0.38,0.67,0.63,0.51,0.72,0.23,0.01,0.31,0.43,0.51
AGE,GRRHN8AIQ0V7,Construction materials,0.96,0.42,0.65,0.69,0.91,0.39,0.22,,,,0.36,,0.31,
AGEJ,BT5GL7KVU7I9,Metals and mining,,0.57,,,0.85,0.81,0.44,,,0.43,,,,
AGF,LTT3L63H7AT1,Leisure products,,0.91,,,,0.04,,,0.71,,0.62,,,
AGH,LZQ60SEKUUI6,Leisure products,,,0.85,0.27,0.52,0.09,0.22,0.99,0.06,0.58,,,0.64,0.55
AGH,CA42Y3OEHOU8,Freight and logistics services,,0.03,0.92,,,,,0.75,0.61,,0.47,0.40,0.90,0.47
AGI,UV9J1A9O2VO8,Semiconductors,0.51,,0.85,0.63,0.50,,0.28,0.25,,0.65,,,,0.76
AGI,TTGSWK5YYJZ3,Chemicals,0.01,0.71,0.15,,0.82,,,,,0.71,0.78,,,0.79
AGIE,IJFJJV9OTHO1,Pharmaceuticals,,,,,0.49,0.85,,0.12,0.33,0.62,,,0.13,
AGK,EIJODXIW2FD4,Beverages,,0.26,0.17,,0.93,0.85,,0.55,,0.00,0.21,,0.27,
AGL,CLJ1B4X8FAB2,Oil and gas,0.97,0.10,0.35,0.23,,0.10,,,0.77,,,,,0.33
AGM,UMNHFC0SP7A9,Communications and networking,0.06,,,0.58,0.59,0.58,,0.70,0.76,,0.35,0.20,0.77,0.08
AGMI,BT7E9GK0FNH2,Coal,0.23,,0.69,0.51,0.14,,,,0.48,,0.40,0.55,0.61,
AGN,OR9EGBJQERP0,Healthcare providers and services,0.40,,0.27,0.75,,0.89,,,0.48,,,0.06,0.51,
AGN,NTNIGUIZLN80,Natural gas utilities,0.05,0.90,,0.54,,,,,,0.84,,,0.14,0.85
AGO,WFYQMLI7AM86,Automobiles and auto parts,0.79,,,0.81,0.67,0.72,,,0.71,,,0.59,0.68,
AGO,ZEAMQ9EI1QA5,Aerospace and defense,0.72,,0.07,0.67,,,0.68,0.39,,0.93,0.53,,0.25,0.63
AGRB,BDLFOLPHLSU6,Specialty retailers,0.27,,0.88,,0.43,,,0.58,0.53,,0.66,0.12,,
AGT,IN950YIQ9RM2,Automobiles and auto parts,,0.85,,0.93,0.37,0.69,0.69,,0.18,0.97,,,0.67,
AGU,RN8TTGDG5713,Textiles and apparel,0.90,0.13,0.87,0.52,,0.54,,,,0.61,,,,0.11
AGUR,BNE5DH9SS0F9,Healthcare providers and services,0.90,1.00,,,0.42,0.77,0.62,0.32,,0.59,0.98,,0.50,0.03
AGV,EE3TV4U25Z66,Residential and commercial REITs,0.07,,,0.24,0.96,,,0.15,,0.07,0.88,0.15,0.23,0.16
AGX,MA7NZFV0C8P1,Hotels and entertainment services,,0.99,0.74,0.96,0.13,0.56,,,0.06,0.65,0.11,0.62,0.39,
AHCC,OZI2XT04RXL2,Construction and engineering,0.14,,0.06,0.33,,,,,0.01,,,0.90,0.21,
AHJF,OLXEV5DJKME9,Textiles and apparel,,0.78,0.06,,0.47,0.92,0.71,,0.87,,,0.27,,0.75
AHKA,WU7AR9Y6K806,Homebuilding and construction supplies,,0.22,,0.04,0.76,,0.42,,0.48,,0.73,0.87,,0.22
AHN,EVVDSL5F8574,Specialty retailers,0.00,0.08,0.29,0.82,,0.82,0.62,0.80,,,0.70,0.56,,0.65
AHNT,OKUW2VB2DW83,Hotels and entertainment services,0.81,0.14,0.89,0.29,,,0.92,,0.86,0.95,0.79,0.80,0.03,0.28
AHY,XJOBM4B5IBN6,Electronic equipment and parts,,0.26,0.79,,,0.47,,,,0.29,0.81,0.01,0.74,
AHY,EEHQDVCUTEC0,Uranium,0.02,,,0.32,,,,0.64,0.12,,0.74,0.45,,
AHY,BHSMW3PWEFN9,Renewable energy,0.91,,,0.00,,,,0.27,0.31,,0.37,0.81,,
AHZ,KTZHRWH9XXS7,Professional and commercial services,,0.05,,0.30,0.21,0.04,0.23,,,0.08,,0.96,,
AHZL,MGB29XZWZOE1,Insurance,,0.65,,0.87,,0.14,,,0.24,0.35,,,0.46,0.64
AHZO,QBD6J5ZGO2W6,Leisure products,0.54,,0.84,,0.03,0.58,0.58,,,,0.05,0.19,0.10,
AIA,PPFNLS6J6B81,Diversified industries,0.97,0.17,0.73,0.39,,,,,,0.82,0.17,,0.84,0.37
AIEC,BDWDW8VU7GL4,Personal and household,0.07,0.41,0.53,0.34,0.59,,0.79,0.59,0.07,,0.23,,,
AIID,DN9Y402HX7J3,Oil and gas related equipment and services,,0.85,,,0.18,0.37,,0.06,0.82,0.34,0.87,,,0.35
AIJ,WJKFIYEY48J9,"Computers, phones and household electronics ",0.91,,,,0.60,,,0.52,,0.15,0.49,0.28,0.93,0.54
AIMW,TJV348X50JK1,Containers and packaging,,0.61,0.85,0.81,,0.64,0.37,0.13,0.00,0.88,,0.98,1.00,
AIN,HSQBEY6EESN9,Leisure products,0.81,0.56,0.00,0.94,,,0.23,,0.87,,0.91,,0.43,0.25
AINM,QVG9S0R67WN8,Chemicals,,,,,,0.86,,,0.95,,,,0.65,0.91
AIP,YYRBD81L0QA5,Media and publishing,0.48,0.22,,0.01,0.29,,,0.04,,,0.91,0.28,,
AIP,AXYZPU8SG989,Office equipment,0.57,0.10,0.78,0.42,,,0.45,0.73,0.94,0.58,0.45,0.04,,
AIPR,DCEXXI2U8LK3,Leisure products,,0.53,,0.41,0.89,0.05,,0.22,,0.42,,,0.92,0.47
AIPZ,RQA13W1LEBJ7,Hotels and entertainment services,,,0.29,,,0.32,,0.58,,0.85,,,0.13,0.72
AIRB,GM9ZDH31QB25,Hotels and entertainment services,0.59,,0.42,0.07,0.88,,0.60,,0.24,,0.78,0.77,0.28,0.36
AISQ,LCK5AKNNO7D1,Investment banking and investment services,,,,0.11,,,,0.13,,,0.37,0.26,0.42,0.74
AITD,BAJ7P8JTEZV3,Multiline utilities,0.09,,,,0.40,,0.06,,0.58,0.56,,0.71,,0.40
AIUZ,NT2EUDGCI5X3,Coal,0.48,0.71,0.15,0.65,0.18,0.20,0.63,,0.14,,0.46,,0.85,0.36
AIWP,ET4WLVAMUU56,Personal and household,0.92,0.51,0.40,0.33,0.20,0.66,,,0.69,0.13,0.53,0.20,0.61,
AIX,WKC39DYYWH46,Oil and gas,0.53,0.00,,0.92,0.59,0.33,,0.61,0.43,0.49,,0.35,,0.19
AIX,KSTFZKQJTXI0,Household goods,0.99,0.87,,0.13,0.28,0.55,0.93,,0.17,0.13,,0.79,,0.17
AIZ,GO4LORLEOS04,Banking services,0.26,0.20,0.57,0.19,0.08,0.63,0.94,0.60,0.41,0.72,,0.23,,
AIZO,OY4NMIN9FZK0,Homebuilding and construction supplies,0.18,0.94,,,,0.06,0.82,,,,0.28,,0.72,0.94
AIZZ,PANMUM3GDDY5,Personal and household,0.79,0.41,0.15,,0.78,0.02,0.29,,0.36,,,,0.32,0.04
AJA,FJUSUV0MOCG3,Paper and forest products,,,0.26,0.70,0.02,0.53,0.75,0.99,0.12,,,0.18,0.24,0.44
AJBP,XHEN3B2WDY93,Biotechnology and medical research,0.79,,0.34,0.35,,0.41,0.94,0.38,,0.88,0.71,,0.12,
AJBV,RWF6FP11FY76,Passenger transportation services,0.18,0.07,,,,0.89,0.25,0.26,0.79,,,0.18,0.27,
AJC,IIOB0E9AII74,Collective investments,0.56,0.30,,0.24,,,0.01,,0.14,0.57,,,,0.64
AJE,HF8V9UM1GJS3,Real estate operations,0.75,0.51,,0.03,0.13,0.87,,0.50,,0.81,,,,0.17
AJG,RXQFMWYDXUM4,Diversified industries,,,0.85,0.72,,,0.50,,0.67,0.64,0.51,0.57,,
AJH,TAT61EOMFIX5,Automobiles and auto parts,0.46,,0.34,0.42,0.39,0.14,,0.14,0.31,0.40,0.94,,,
AJI,CLZC7DCT7185,Hotels and entertainment services,,,,,0.85,0.68,,0.59,,,,0.54,,
AJIQ,ZKXGMXCKOQH0,Diversified retail,,,0.75,0.91,,0.03,0.79,0.41,0.28,0.25,,0.96,,0.03
AJKB,WWA7VACAOGS1,Uranium,,0.03,0.85,,0.85,0.25,0.76,,,0.28,,0.83,0.70,0.47
AJLE,YDTZEXTNSMK8,Investment holding companies,0.85,0.99,0.11,0.66,0.69,0.96,0.17,,,0.15,,0.24,0.14,
AJLF,LMD1GGCKRCI5,Healthcare providers and services,,0.56,,0.29,,,,0.86,,,,0.32,,0.24
AJMZ,KW8CX4P0L2R5,Semiconductors,0.63,0.66,0.45,,0.99,0.66,,0.30,0.12,,0.26,,0.96,0.94
AJO,PHIUJK7UDDX2,"Computers, phones and household electronics ",,0.48,0.20,0.45,,,0.78,0.54,0.95,0.36,0.17,0.32,,0.52
AJOK,JX7Q774RFTL3,Telecommunications services,,0.41,0.43,0.30,0.45,,0.59,0.73,0.48,0.14,0.07,,,
AJOO,MHN191YKE3T0,Diversified retail,0.60,,,0.04,0.98,,,,0.02,,0.50,0.50,0.49,
AJOY,IFE3TVET06V6,Healthcare equipment and supplies,0.40,,,0.86,,0.90,0.06,0.12,,,0.33,,0.37,0.88
AJW,LNR1Y49M6Z27,Leisure products,0.43,,0.37,,,0.77,,0.75,,0.42,0.91,0.53,,
AJWU,KSM39C8X3ZD6,Passenger transportation services,,0.31,,0.19,0.52,0.04,0.65,0.19,,0.79,0.87,0.73,,
AJXO,TMZ5BDTAC7A6,Construction materials,0.85,,,0.92,,0.31,,0.26,0.93,,0.59,,,
AKA,TQFHP4NQCQJ7,Biotechnology and medical research,,0.45,0.76,0.22,,0.13,0.81,0.48,0.78,,0.20,,,
AKA,AWU7DY66LL33,Insurance,,0.93,0.40,0.99,0.49,0.26,,0.91,,0.95,0.20,,0.43,0.25
AKDZ,QNG84LPHF652,Passenger transportation services,,,0.42,,0.54,0.12,,,0.24,0.67,,,,
AKE,FH7MKZI715R6,Media and publishing,,,,,,,,,,,0.39,,0.27,0.08
AKE,PILX3OPN90A6,Pharmaceuticals,0.78,,,0.91,0.41,0.44,,0.21,0.85,,0.62,0.83,0.42,
AKFJ,RIHFBKL0V342,Coal,0.89,,0.69,0.76,0.08,0.54,0.13,0.41,0.30,0.12,,,0.35,
AKGF,VGH2BK3T53E4,Office equipment,0.54,0.72,,0.68,,,,0.99,,0.36,0.99,0.39,0.37,0.13
AKGW,BA6LBWU323R0,Electric utilities and IPPs,,0.96,0.20,0.41,0.13,0.26,0.86,0.46,0.82,,,0.20,0.61,0.32
AKJK,XR77HHWBFRC6,Investment holding companies,,,,,,0.58,0.26,0.60,,,,0.33,0.30,0.96
AKLR,CH6MY3MMAIE8,Healthcare providers and services,0.48,0.94,,,0.93,0.22,0.33,0.27,,,0.25,0.83,0.91,
AKM,BLNUKDJDI8F0,Freight and logistics services,0.99,0.70,0.04,,0.59,0.01,,0.83,0.03,0.37,0.11,0.72,0.49,
AKMW,DGCFR09XRUE7,Residential and commercial REITs,,,,,,0.89,,0.48,,0.21,0.38,0.84,0.56,0.33
AKN,VGX0W23D5XC2,Household goods,,0.32,0.66,,,0.61,0.21,,,0.01,,0.56,0.81,
AKO,AMMM8LMJZXN7,Metals and mining,,,,,0.53,0.70,,0.81,,,0.79,,0.82,0.76
AKP,GRVB2F2GBHY2,Healthcare providers and services,0.84,,0.26,0.92,0.22,,0.71,0.34,,0.45,,,0.12,0.34
AKPJ,WRI9F8D8WGP9,Software and IT services,0.07,0.86,,0.54,0.15,,,0.94,0.74,,0.57,0.80,,
AKQI,OMICX0ZW9WD0,Chemicals,,,0.48,,0.58,0.70,,0.39,,,0.98,,,
ALAK,AMTFIKHU6HB1,Media and publishing,,0.31,,0.17,,0.29,0.48,0.58,0.65,0.20,0.14,,,0.56
ALEB,DJ0U4OC4SKP1,Homebuilding and construction supplies,0.94,,0.94,,,,0.70,0.15,0.40,,0.98,,,0.41
ALEC,RND13L17OKY7,Professional and commercial services,0.25,,,0.45,,,,1.00,0.54,0.49,,0.07,0.05,
ALJS,FNIVI844PTZ1,Transport infrastructure,0.18,0.52,,,0.83,,,0.47,0.29,0.43,,,0.07,
ALK,FC3638KOE2L2,Telecommunications services,0.23,,,,0.35,,0.86,0.59,0.69,0.05,0.73,0.22,,
ALN,SAQIGFX45SN8,Professional and commercial services,0.52,0.43,0.58,0.34,0.21,0.35,0.61,0.19,0.65,0.59,,0.06,0.50,0.46
ALN,OERXT3SGZKN6,Communications and networking,0.19,0.33,0.40,0.63,,0.81,0.47,,0.08,,0.56,0.06,0.93,0.36
ALOS,JO2NHD817N63,Paper and forest products,0.57,,0.19,0.08,0.80,0.02,,,,0.45,,,0.97,
ALP,UHLGXPNXTBE1,Real estate operations,,0.22,,0.35,0.70,0.55,,,,,0.57,,,0.79
ALPN,SC13WYCDPTG2,"Computers, phones and household electronics ",0.39,,0.04,0.75,0.83,0.03,0.55,,0.05,0.92,0.14,0.64,,0.03
ALTX,PTBVC1PT3VU2,Coal,0.71,0.89,0.04,0.79,,0.61,0.61,0.72,0.33,,,,0.35,
ALUR,YHYT4YO349Q6,Electric utilities and IPPs,,,0.95,0.67,,0.91,0.98,0.36,0.87,0.69,,,0.68,
