Ticker,ISIN,Industry,TR_AnalyticCO2,TR_AnalyticTotalWaste,TR_EnvProducts,TR_AnalyticEnvRND,TR_AnalyticWaterUse,TR_AnalyticEnergyUse,TR_PolicyHumanRights,TR_PolicyResponsibleMarketing,TR_ProductQualityMonitoring,TR_PolicyDataPrivacy,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
CPB,NHLCRGVVHH37,Aerospace and defense,,0.78,,,0.87,0.52,,,0.43,0.22,0.09,0.73,0.85,0.24
CPYG,VKQO25YPVY07,Aerospace and defense,,,0.57,0.46,,0.46,,,,,,0.5,0.61,
CSR,ABMDAIB8UHF7,Aerospace and defense,,,0.31,,0.99,,0.45,,0.51,0.07,0.58,0.87,,0.42
CUIK,JWSE8Y2KZJK3,Aerospace and defense,,0.9,0.01,,0.98,,,0.31,0.37,,,0.35,,0.16
CXT,IV41YBTDFOY5,Aerospace and defense,0.42,,,,0.95,0.21,0.31,0.1,0,0.49,,0.63,,0.35
DKJ,AQJPKQ9T17X1,Aerospace and defense,0.44,,,,0.56,,,0.11,,,0.61,0.87,0.01,
DPPL,JHFPOHL1VC81,Aerospace and defense,0.82,0.11,,0.41,,0.49,,0.29,0.69,,0.87,0.57,0.35,
DVVD,XQT79IDCQLM6,Aerospace and defense,,,,0.41,0.28,,0.27,0.94,0.55,,0.56,,,0.72
DWKM,CACOFMOLPFK7,Aerospace and defense,,0.16,,,0.19,0.47,,0.01,,0.18,,,0.89,
EAZ,TQKJ65P2GK04,Aerospace and defense,,0.41,0.96,,,,0.36,,,0.1,0.98,0.92,,
EDWT,LNLKJICN72R8,Aerospace and defense,0.6,0.91,0.91,,0.34,0.03,0.9,0.06,,0.05,,0.75,0.64,
EGAI,VVWSRG5KLVM8,Aerospace and defense,,,0.08,0.71,0.03,0.12,,0.65,,0.7,,,,0.17
ERE,QISODKPBONQ2,Aerospace and defense,,0.21,0.62,,0.08,0.16,,,,,,0.81,,
FDWS,CXI2FCLZ2A09,Aerospace and defense,0.11,,0.43,,,0.32,0.47,,,0.86,0.3,0.8,,
FEPM,DW1NR2WJHIE3,Aerospace and defense,,,,,0.62,,0.47,0.39,0.04,,,,,
FNHT,KJXRSZA15ML5,Aerospace and defense,,,0.08,,,0.82,,0.59,,,,,,
FTT,BLPIU9GPBMR0,Aerospace and defense,,0.07,0.25,0.35,,0.37,0.78,0.76,,,,,0.33,0.81
FVYQ,GXTG72PK4H89,Aerospace and defense,0.52,,0.49,,0.14,,0.97,0.65,,0.77,0.99,0.27,0.94,0.96
FYH,SRZ6S47FRTR6,Aerospace and defense,0.04,,0.36,,0.56,0.58,,0.99,0.61,0.7,0.5,0.42,0.99,0.54
GCJ,ICL3ZNDGI4G2,Aerospace and defense,,,0.12,,,,,,0.9,,0.89,0.94,0.09,0.59
GGF,GTK6Q06FJ9O9,Aerospace and defense,,,,,0.22,,,,,,,,0.49,
GIDN,DUVCN1B4UVA0,Aerospace and defense,,,0.07,,,,0.01,,0.9,,0.2,,0.06,
GJY,IPZSCGNL46Z5,Aerospace and defense,,0,,0.47,,,0.23,,0.04,0.26,0.56,0.21,0.07,
GLP,JXJFHFFF8G96,Aerospace and defense,,0.98,0.6,0.35,0.67,,,,0.02,,0.66,0.84,0.84,0.62
GNW,YFK41YDL7UP1,Aerospace and defense,0.29,0.86,0.22,0.87,0.03,,,0.7,0.46,,,,0.06,0.15
GRQD,CPC7SYYE02D6,Aerospace and defense,0.11,0.9,,,,,0.22,,,0.79,0.55,,,0.03
GTBY,ZNHYBSI416D4,Aerospace and defense,0.8,,,0.47,0.07,,,,0.7,0.95,,,,0.73
GTKQ,HU61CZ9BLT53,Aerospace and defense,0.54,,,,0.51,,0.43,,,,0.3,,0.12,0.14
GTS,NCOZRK72YZ96,Aerospace and defense,0.19,,,0.67,0.59,,0.62,,,0.88,0.21,0.42,0.49,0.39
GUOE,JB5PCBE8KIE3,Aerospace and defense,0.62,,,,0.28,0.31,0.27,,0.13,0.8,,,,0.38
GUS,NTS5QFS48VS1,Aerospace and defense,0.5,0.51,,0.04,0.27,0.68,0.04,0.36,0.47,0.85,0.65,,,
GZTS,OOTIICTFP2D2,Aerospace and defense,0.47,0.57,0.27,0.14,,0.61,0.8,0.48,0.63,,,0.09,0.23,0.96
HAZ,SFYUG0WACRE3,Aerospace and defense,,0.96,0.39,0.27,0.94,0.93,0.66,,0.06,,,,0.32,0.49
HBJY,JXOKZM3PNZ18,Aerospace and defense,,,0.15,0.08,0.79,,0.96,0.26,0.14,0.04,0.39,0.83,0.22,
HDMB,NLZ0BF45WNR5,Aerospace and defense,,,1,,0.86,0.91,,0.63,,0.29,,0.92,0.23,0.7
HEE,UZ3C6EBQ4UZ4,Aerospace and defense,0.91,0.09,0.47,,,,0.93,,0.07,0.64,0.27,,0.47,
HFRL,HOXSPVXVSVQ4,Aerospace and defense,,,0.16,,,,,0.26,0.28,,,0.78,,0.73
HRS,MSV1W0GQXZN2,Aerospace and defense,0.76,,,,0.42,0.29,0.66,,,,,0.86,0.06,0.13
HXU,CDBBKSGNDY89,Aerospace and defense,,,,0.99,0.58,0.58,,0.4,,,,,,
HZY,HPS5WWJJKVG4,Aerospace and defense,0.64,,,0.79,0.62,0.84,0.01,1,0.98,0.13,,0.85,,0.19
IDTW,DCC1PWEHBBA1,Aerospace and defense,0.62,0.7,0.24,0.5,,0.16,,0.73,0.89,0.77,,0.98,0.99,0.1
IKL,DCK0NARKMTS5,Aerospace and defense,0.88,,,0.8,0.29,0.06,,0,,,0.49,0.64,0.76,0.45
IOU,OXH56Q63ZL52,Aerospace and defense,,,0.4,,,0.9,0.88,,,,0.23,0.17,,
IPBN,PZL90IDH4TE8,Aerospace and defense,,,0.86,0.29,0.77,0.55,0.03,0.1,0.56,,0.86,0.47,,
IPFJ,SK3747OUEIC6,Aerospace and defense,,,,,0.38,,0.56,0.31,,0.1,0.17,,,
IPNS,EYX55ALDFTV4,Aerospace and defense,0.01,,,0.21,0.58,0.79,,0.96,,,0.15,0.35,0.21,0.01
IRDI,JB2WA899KO35,Aerospace and defense,0.15,,0.58,0.13,,0.55,,0.36,0.56,0.12,0.96,,,0.88
IVAN,LXNBHA6NVXQ6,Aerospace and defense,,0.88,,0.58,0.2,0.63,,,0.28,0.24,,0.43,0.78,0.43
JDYE,KGGE2QRCHJA5,Aerospace and defense,0.29,0.83,0.06,,0.56,0.24,0.83,,,,,0.9,0.83,
JEPG,UKAC11WFQCG0,Aerospace and defense,0.37,,,0.93,0.32,,0.09,0.81,0.49,1,,,0.76,0.06
JMJZ,ST0LJBXH5N86,Aerospace and defense,0.54,0.14,,,0.15,0.34,,0.16,,0.05,,,0.61,0.32
JOH,DGXE24EAFYK1,Aerospace and defense,,0.91,,0.77,,,0.41,,0.4,0.23,0.31,0.5,0.91,
JSA,ZG4VWAU4K380,Aerospace and defense,0.57,0.45,,,0.06,0.77,0.04,0.04,0.73,0.09,0.35,,0.77,0.22
JYWO,PWDF0OFUZ8J1,Aerospace and defense,,0.24,,0.65,0.23,,,,0.47,0.23,,0.32,,0.3
JZF,JKQTG15M4WE6,Aerospace and defense,,0.79,,,,,0.36,0.82,,0.53,,,,0.99
JZN,VLQPLHHHND50,Aerospace and defense,0.76,,,0.04,0.87,,,0.69,,,0.31,0.82,0.81,
KDR,EERBH77N5X84,Aerospace and defense,,,,0.78,0.19,0.4,,,0.66,,0.71,0.17,0.74,0.61
KIVK,IDH1HAXUWGK1,Aerospace and defense,,0.89,0.76,0.65,,0.89,,0.52,,,0.68,0.85,,
KKYJ,EC9L3U3F2514,Aerospace and defense,,0.12,0.98,,,0.54,0.35,,0.64,0.61,0.47,,0.64,
KNZM,TWKL9P879B22,Aerospace and defense,0.8,0.03,0.77,,,0.61,0.31,0.99,0.45,,0.93,,0.17,
KTKM,QF12R9KVYES0,Aerospace and defense,0.03,,0.19,,,,,0.6,0.89,,,0.77,0.81,
KTX,AWG0RN9IDRN1,Aerospace and defense,0.44,0.55,0.57,,,0.14,,,,,0.71,0.26,0.45,0.74
LAVS,ASYI9HFEAN86,Aerospace and defense,0.46,,,,,,0.67,,0.39,0.31,,0.66,0.43,
LKOF,GF3VAXNZPLY8,Aerospace and defense,0.52,0.34,,,0.13,0.4,,0.71,0.42,0.98,,0.85,,0.02
LLO,FXC5UNP2DJV1,Aerospace and defense,1,0.41,0.57,,0.08,,0.77,,0.51,0.6,0.59,,,0.3
LNB,TM01MY2HL9U2,Aerospace and defense,0.86,,0.08,0.72,,0.74,,0.64,0.97,,0.47,0.15,,
LXFD,EGOBJFLQ8AR9,Aerospace and defense,0.26,0.8,0.2,,,0.34,,0.98,,,0.44,,0.38,
LXLW,EJKGG4PIYI40,Aerospace and defense,,,0.15,0.18,0.81,0.85,,,0.91,0.92,,,,
LYP,PJL5N2MEWDP2,Aerospace and defense,0.06,0.16,,,,,0.77,0.34,0.49,0.27,,0.79,0.77,0.39
MDOG,MM5OFIBNANT0,Aerospace and defense,,0.91,,0.41,0.18,,,,0.43,,0.51,0.49,0.19,0.31
MEQ,HK2SDTUNKZN8,Aerospace and defense,0.32,0.15,0.87,,0.06,0.44,,0.25,0.92,,,,0.47,0.08
MFA,KKR3M438TP32,Aerospace and defense,,,0.19,,,0.73,0.14,,,0.68,0.69,,0.24,0.08
MGA,UPV14O5VVZ83,Aerospace and defense,0.94,0.49,0.37,,0.29,0.68,0.73,0.27,0.54,,0.05,0.86,,
MOEK,BFMKV0PT45C5,Aerospace and defense,0.22,0.36,0.2,0.69,,,1,0.33,0.55,,,,0.35,
MOKS,QH8HVOIX85D7,Aerospace and defense,,,0.81,0.9,0.7,0.53,0.79,,0.57,,0.31,,0.03,0.65
MPN,KJ3D53UGBFE1,Aerospace and defense,0.09,0.89,,0.6,0.21,0.41,,0.37,,,,,,0.17
MRO,GSTNX13GL204,Aerospace and defense,,,,,,0.4,0.74,,0.01,0.94,,,0.79,0
MTT,BDP4E1TK0X61,Aerospace and defense,0.59,,,,0.7,0.08,,,,,0.45,0.08,0.41,
MUM,YU31VNV7F2I4,Aerospace and defense,,0.62,,,0.2,0.34,0.04,0.19,0.85,0.29,,,0.75,
MWPX,CJJYMI4QY3K7,Aerospace and defense,0.66,0.65,,,0.92,0.97,,0.9,0.32,0.78,,,0.15,0.55
MYS,IBCAPNCXAGC3,Aerospace and defense,,0.69,,0.98,0.49,0.58,0.44,,0.88,,0.76,0.65,0.73,0.63
NCZ,PWKJQS0QWLO9,Aerospace and defense,0.46,,0.11,,0.3,,0.46,0.38,,0.83,0.92,,,
NKXN,YTJHVR6UT2D2,Aerospace and defense,,,0.61,0.01,,0.53,0.64,0.84,,0.01,0.6,,,0.04
NPHM,JPFG7L82Y402,Aerospace and defense,0.32,0.63,,,,,0.39,0.31,,,0.08,,,
NSBU,FFUPVRPXB6D6,Aerospace and defense,0.26,,0.92,0.07,0.54,0.27,,,0.83,,0.86,,,0.04
NSTI,VW5OGNI7ID35,Aerospace and defense,0.39,0.34,0.79,0.04,,,0.7,0.75,0.07,,0.64,,,
NUYD,NR6N3G7XFVW8,Aerospace and defense,,,0.95,0.74,0.47,0.73,0.06,0.24,0.66,0.82,0.55,0.1,0.64,0.69
NWAB,COQSBYE91QN7,Aerospace and defense,0.17,,0.55,0.18,0.65,,,,0.66,,,0.84,,0.17
ODQ,ZVL4KNISY252,Aerospace and defense,,1,,0.42,,,0.82,,,0.55,0.03,,,0.39
OJA,PWUQ48TSMBL8,Aerospace and defense,0.46,,0.75,,,0.59,,0.64,0.47,,0.6,,0.34,0.79
OOX,EVTIIR8WBA64,Aerospace and defense,0.72,,,0.05,0.61,0.48,0.93,0.96,0.74,0.28,,0.8,,
OQB,CTB7O5J9V7Q7,Aerospace and defense,0.51,,,0.97,,,,,,,0.31,,,0.18
OQN,UCE1P5H1F5U7,Aerospace and defense,0.98,,,,,,0.72,0.84,0.93,,0.54,0.73,0.4,0.27
OTJ,XZXBUTWOUHL3,Aerospace and defense,,0.68,0.09,0.59,,,0.1,,,,0.86,0.78,,0.46
OXKZ,LOKWML919VR5,Aerospace and defense,0.91,,,0.68,,,0.96,,,,0.55,,0.53,
OXQM,UH7ILXIQ5MY2,Aerospace and defense,,,,,0.98,,0.76,,0.49,0.08,,,,
OYF,TZM0YM9M8S43,Aerospace and defense,,0.37,0.33,0.17,,0.39,0.56,,0.63,0.3,0.33,0.97,,1
OZY,ATS7XC51MCI7,Aerospace and defense,0.36,,,0.38,0.94,,,,,0.76,,,,
PCD,QR75ZMESTK56,Aerospace and defense,0.37,,0.57,0.04,0.39,0.67,0.53,,,,,,0.43,
PCZ,FFZEL1I45RZ2,Aerospace and defense,,0.04,,0.74,,,0.2,0.4,0.89,,0.85,,,
PKN,QLZH920RFSD0,Aerospace and defense,0.45,,0.3,0.1,,0.65,0.74,0.45,,0.97,0.27,,,0.61
PMO,BUAMXW3O55J2,Aerospace and defense,,,0.9,,0.1,,,0.67,0.24,,,0.85,,0.82
PNQL,VBVWI0F9RIX3,Aerospace and defense,,0.74,,0,,,0.67,,0.46,0.72,0.83,0.31,,0.83
POVF,MN36R1VQXXX3,Aerospace and defense,,,,,,,0.27,,0.68,0.78,0.01,0.11,0.65,0.09
PQXA,DXGVN94B7IF2,Aerospace and defense,0.86,0.17,0.77,0.66,,0.52,,0.31,0.29,,,0.07,,0.7
PRQE,QN9TXSIK3S44,Aerospace and defense,0.14,,0.19,,,,0.26,,,0.54,,0.24,0.62,
PSQJ,XTV2SZUD0SS0,Aerospace and defense,,0.7,0.74,0.19,,0.58,,0.36,0.19,0.85,0.45,,0.36,
PTK,BPN6LZ4OTMJ7,Aerospace and defense,0.9,0.73,0.24,,,,,,0.79,0.58,0.82,0.5,0.56,0.62
PYAB,KAGQJ17J3I67,Aerospace and defense,,0.92,,0.88,0.38,,,,,,0.91,,0.48,0.03
PYGU,UN2MTK05A5Y4,Aerospace and defense,,,,0.1,0.41,0.08,,0.74,0.07,,,,,
QBFZ,PLEOKLFMRMH8,Aerospace and defense,0.37,0.63,0.19,0.78,,0.29,0.24,0.82,0.81,0.95,,0.29,0.62,0.06
QCPC,DTIL51KADN42,Aerospace and defense,0.92,0.7,,0.11,0.5,0.84,,,0.18,,,,,0.95
QGHL,CXAEHH28H1P2,Aerospace and defense,0.83,,0.97,,,0.83,0.99,0.53,0.33,0.2,,,0.33,0.89
QJHZ,VYRBIOHQMUL5,Aerospace and defense,0.98,0.1,,,,0.24,0.66,0.94,0.08,,,0.32,,
QOD,XDV99OJZXIL5,Aerospace and defense,0.5,0.13,0.11,,0.03,,0.48,0.05,0.22,,0.27,0.94,,0.55
QWVO,YFL722F6SA16,Aerospace and defense,0.21,,0.98,0.77,0.13,0.77,,0.88,0.19,0.98,0.92,,0.01,0.48
RDF,NXFUONDHR2J7,Aerospace and defense,,0.28,0.56,0.38,0.15,0.57,0.54,0.48,,,,,,0.39
RJHR,WVPEJVNEJO82,Aerospace and defense,,,,0.26,,0.17,0.53,0.55,,0.64,,,0.18,
RJN,UCWZ7ZLZ62S2,Aerospace and defense,,,0.83,0.9,0.04,0.61,,0.95,0.24,,0.17,0.49,,0.96
RPD,NDKOCLD803Y0,Aerospace and defense,0.27,0.82,,,,,0.65,0.79,,0.76,,0.04,0.54,0.51
RPRO,HAEVPZ8UE0X5,Aerospace and defense,0.1,,0.22,,0.41,0.56,,,0.88,0.56,0.96,0.45,,0.38
RYSW,JQ3BV8FK3XK4,Aerospace and defense,,0.97,,0.19,,,0.97,,,,,,,0.79
RZHX,DK1B28TYWX75,Aerospace and defense,,,,,0.05,0.92,0.14,,,,,,0.59,
SELO,WR6AH4IT2NL4,Aerospace and defense,0.27,0.2,0.86,,0.27,0.13,0.99,0.47,,,0.06,,0.75,
SGO,IYEW55Q6EEB2,Aerospace and defense,0.78,0.23,,,0.22,,,,,0.69,,0.56,0.01,0.41
SKSK,FOZYBTBKCXA2,Aerospace and defense,0.99,0.4,,,,,,0.12,,,0.65,0.75,0.2,0.06
SNF,ZC9QUEK15OJ9,Aerospace and defense,,,0.37,,0.64,0.05,0.79,0.04,0.8,0.15,,0.74,,0.47
STFN,QDTT1DFUL8K5,Aerospace and defense,0.08,0.08,0.73,0.18,,0.66,0.29,0.42,,0.58,0.46,0.18,0.53,
SWM,QZ4K3Y4F24R7,Aerospace and defense,0.95,,,,,,,,0.76,0.32,,,,0.34
SYCM,WM16AVS6K0B7,Aerospace and defense,,0.38,,,0.27,0.74,0.91,0.26,,0.23,0.25,,0.05,0.13
SYW,GA8216NJ41P8,Aerospace and defense,,,,,0.43,0.2,,,,0.69,0.9,,,
TAPQ,TP6V9XZIQ771,Aerospace and defense,,0.43,,0.19,0.14,,0.23,0.43,0.47,0.65,,0.19,,0.03
TEGP,OARTVBZCHS73,Aerospace and defense,,0.58,,,0.13,,,,0.38,,0.35,0.29,0.03,
TER,JIC8BKWZLVC5,Aerospace and defense,,,0.76,,0.34,0.71,0.93,,0.36,0.07,,0.68,1,
TGU,AFWJNNIU76E3,Aerospace and defense,,0.32,,0.48,,,,,,,,0.05,0.5,
TLZ,NTQ4GRZAH9S1,Aerospace and defense,,,0.65,,,0.47,0.78,0.98,0.86,0.22,0.7,0.69,0.57,0.37
TOE,EDE00UUWMIY9,Aerospace and defense,,,,0.47,,,0.16,0.42,0.08,0.01,0.41,0.2,0.86,
TTJ,HDK0AXLSSY38,Aerospace and defense,0.91,0.98,0.77,0.45,0.75,0.88,0.46,,0.57,,0.22,0.01,0.63,0.79
UCX,JYPSJF4B9U94,Aerospace and defense,0.88,,0.83,0.06,0.92,0.29,0.19,0.89,,0.59,,,0.2,0.1
UEND,NCILE7IB2GL0,Aerospace and defense,0.3,,0.62,0.23,,0.51,0.16,,0.8,,0.4,0.44,,
UFA,UUGOML1X8G84,Aerospace and defense,0.62,,0.78,0.18,,0.78,0.41,,,0.27,0.31,,0.49,
UHPV,CN3MBL1A9RM8,Aerospace and defense,,0.41,,,,0.93,,0.6,,0.08,,0.03,0.38,
UIU,CFD5B0LGT9W4,Aerospace and defense,,0.78,0.57,0.73,0.55,0.55,0.39,0.68,0.41,,0.92,0.65,,0.82
UMDV,VQMVYQ413339,Aerospace and defense,0.63,,0.47,,,,0.74,0.37,0.74,0.41,,,0.35,
URHG,QXXB2FIVXC39,Aerospace and defense,,,0.84,0.36,,,,0.59,,,0.42,,,0.89
USF,ME5BN2RQJCP6,Aerospace and defense,0.4,,0.22,0.75,,,,0.27,,0.84,0.63,0.04,0.34,0.71
UVU,EPSRUM37TPW5,Aerospace and defense,0.43,,,0.79,,0.07,0.05,,,,0.69,0.06,0.29,0.54
UVVP,SRMRND49Y5N7,Aerospace and defense,,0.7,,0.27,0.42,0.29,0.98,0.82,,,0.13,,0.12,0.82
UXJC,GWXQ2XRPTIN2,Aerospace and defense,0.92,,0.55,0.08,0.9,0.06,0.04,0.45,0.3,0.35,,,,0.49
UXP,MH7TQI4TVEJ9,Aerospace and defense,0.54,0.32,,0.32,0.64,,,0.69,0.48,0.34,0.78,,0.06,0.96
UZTO,HUBHLF4GAFJ6,Aerospace and defense,0.51,,0.76,0.57,0.15,,0.65,0.12,0.27,,0.97,,,
VDS,ECYS1RT7PL05,Aerospace and defense,,0.38,,0.96,0.63,0.17,,0.09,,,,0.93,0.74,
VEG,YGPNKFTKNKQ6,Aerospace and defense,0.64,,0.71,0.62,,0.98,0.5,,0.74,,0.89,0.47,,0.13
VEN,EMH1S2WFWMV7,Aerospace and defense,0.84,0.48,,0.53,0.6,0.25,0.86,,0.03,,,0.18,0.19,0.14
VHEU,JC5TL48EGEW2,Aerospace and defense,,0.48,,,0.17,0.81,0.18,,,,0.14,,0.53,0.71
VJZ,UVBUWF0KT5N1,Aerospace and defense,0.04,0,,,0.65,,,0.25,0.84,,1,,0.91,
VNTC,ZL60E1OU0LF6,Aerospace and defense,,,,0.83,,0.19,0.26,,0.51,,,,,
VPE,SPWEY661XB39,Aerospace and defense,,0.2,,,0.43,0.62,,0.33,0.06,0.85,0.61,0.79,0.97,0.68
VTUZ,TKIZ81MPVZA3,Aerospace and defense,,,,0.55,,,0.44,0.46,,,,,0.28,
VWL,POA39ND0K1I0,Aerospace and defense,,0.11,,0.83,,,0.24,,,0.39,,0.64,0.01,0.98
VWTF,EA8LA8JUATV4,Aerospace and defense,0.43,,0.18,0.81,0.44,0.26,0.58,,,0.46,,,0.76,
WAIZ,IXVPMPSDSU27,Aerospace and defense,,,0.26,0.61,,,0.42,0.52,0.43,0.49,0.74,,0.1,
WATF,TQ4CKYWSUN24,Aerospace and defense,0.17,0.31,0.47,0.43,,0.55,,0.89,,,0.11,0.71,0.22,0.64
WAWN,AAJS4G2XHL98,Aerospace and defense,0.95,,,,,,,0.13,0.36,,,0.37,0.85,0.15
WHSQ,WQ58RNH90WN2,Aerospace and defense,,0.5,0.39,0.71,0.39,,0.08,0.43,,0.46,,,,0.32
WIP,DZ29LEP3B1T2,Aerospace and defense,,,,,0.83,,0.35,0.33,,0.88,0.31,,0.91,0.26
WLC,KCOLHV8G9869,Aerospace and defense,,,,0.99,,,0.65,,,,0.63,,,
WLY,DW58VMQ8QUV5,Aerospace and defense,,,0.04,,,0.26,,0.61,,0.93,,0.82,1,
WQCZ,FBU78VL41RA1,Aerospace and defense,,0.75,0.31,0.63,0.7,0.48,,,0.44,0.16,0.97,,0.21,
WQES,YEX7HXVJFE94,Aerospace and defense,,,0.29,0.3,,0.23,0.26,0.52,0.65,0.35,,0.39,0.74,
WSIE,AHJ53MD8VDM5,Aerospace and defense,,,,0.91,,,,0.29,0.77,0.06,,,,0.68
WVK,EBN6MKGZHXU5,Aerospace and defense,0.62,0.83,0.06,0.22,0.77,,0.25,0.96,0.25,0.99,,0.28,0.21,0.58
WYTD,LT108BB39XX5,Aerospace and defense,,0.44,,0.85,,,0.78,,,,,,0.84,0.69
XATS,XZY8NGUYVH52,Aerospace and defense,,0.98,0.16,,0.83,,0.74,,0.7,0.1,,0.27,,0.82
XAU,NCM0C6I3QYU8,Aerospace and defense,0.88,0.98,0.05,0.92,0.33,,0.45,0.92,0.26,0.08,0.23,0.66,0.01,
XDI,MTSSUORYD4Z4,Aerospace and defense,,,,0.68,,0.42,0.85,,0.54,,0.94,0.23,,0.37
XEE,CFLM6HWDR1M0,Aerospace and defense,,0.24,,,,,0.27,0.81,0.09,,0.42,0.45,,0.92
XEJF,HBCA0SQYNEB8,Aerospace and defense,,,0.49,0.5,0.53,,0.77,0.3,0.48,,0.45,0.52,,
XIOX,WS8QBXSVDFA3,Aerospace and defense,,0.81,,,0.64,0.15,0.92,,,0.31,,0.91,0.43,0.5
XJX,PJAJ8Z852B36,Aerospace and defense,0.84,0.41,0.31,,,0.46,0.09,,,0.89,,,0.44,0.91
XLE,NZTR4FKIYR03,Aerospace and defense,0.82,0.07,0.36,,,,,0.14,,0.54,,,0.89,
XLI,JZFGYUAJ4FX3,Aerospace and defense,0.84,0.93,,0.19,,0.41,0.87,,0.74,,,0.61,,0.73
XMKX,QGDW5QQTYCW3,Aerospace and defense,0.15,,0.14,,0.09,0.91,,0.56,,,,0.94,,0.91
XMWO,VVCW3QVMF065,Aerospace and defense,0.2,0.01,0.27,0.63,,,,0.73,,0.66,0.94,0.61,,0.55
XNMD,AYHOQX17Z5G5,Aerospace and defense,,0.68,0.44,0.73,0.6,,0.03,0.29,,0.04,,,,
XOY,ARCJJ0PDACR9,Aerospace and defense,0.26,,0.31,0.5,,0.79,,0.35,0.96,,,0.52,0.1,
XVYN,NC05I0JQAYG1,Aerospace and defense,0.05,0.34,0.42,0.99,,0.56,0.02,0.31,,0.95,0.37,0.77,0.95,
YCH,EFCZ1SQVGA19,Aerospace and defense,0.4,0.62,,,0.33,0.41,0.06,,0.05,0.97,,,,0.76
YEA,WFUOFGK8SSI1,Aerospace and defense,,,0.4,,,0.18,0.52,,0.05,,0.65,0.07,0.26,0.48
YETC,IANXM8BB3VR4,Aerospace and defense,,0.26,,,0.52,,,0.96,,0.25,,,0.87,
YIJ,EZOJQR3797D3,Aerospace and defense,0.35,,,0.21,,0.94,0.02,,,,,,0.22,
YPAC,VAOIM325P6S9,Aerospace and defense,0.09,0.88,0.05,0.42,,0.5,,,,,,0.1,0.19,0.52
YPJL,CYDTE0NVQ9J3,Aerospace and defense,0.61,0.68,0.15,,0.85,0.32,0.05,0.86,0.55,0.09,0.93,,0.37,
YQOP,FI8EGN1O6N52,Aerospace and defense,0.38,,0.43,,,,0.92,,0.26,0.72,,,0.7,
YWK,VS6TA25GP4O3,Aerospace and defense,0.77,,0.38,,0.05,0.45,0.39,0.32,0.14,0.22,,0.32,0.8,
YWKF,KOWNXOKM9AE6,Aerospace and defense,0.38,0.6,,,,0.78,0.03,,0.54,,,0.86,,0.46
YWPO,OBO3907AD2X7,Aerospace and defense,0.7,0.75,,0.42,0.51,0.7,0.92,0.71,0.57,,,0.45,,0.06
