Ticker,ISIN,Industry,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
CUAH,AQKQENUYNP77,Construction and engineering,0.9,0.85,0.71,0.8
OMH,DIDBOMJCX0W4,Multiline utilities,0.99,0.75,0.76,0.76
JSF,GWQYUTJBWVI1,Specialty retailers,0.56,0.92,0.86,0.92
KDO,CBLFF00CX7Q2,Food and tobacco,0.68,0.92,0.93,0.72
TJKR,NGRM427U9QH8,Investment holding companies,0.82,0.88,0.8,0.75
RYT,QDDCWMF8O0J2,Leisure products,0.85,0.83,0.74,0.83
TJM,ZXMVQIJZUID4,Oil and gas,0.7,0.67,0.89,0.99
BGE,IIPQ11U45098,Oil and gas related equipment and services,0.97,0.51,0.98,0.79
CGM,WRFYR9VBMP66,Uranium,0.65,0.89,0.83,0.88
XLE,NZTR4FKIYR03,Aerospace and defense,0.98,0.98,0.6,0.68
JSB,BHTMQONHS6A5,Automobiles and auto parts ,0.87,0.87,0.55,0.95
DWFP,WXW0K5ZBYVF4,Construction materials ,0.99,0.94,0.4,0.91
IHWO,IJ8LLME6IH52,Healthcare providers and services,0.94,0.88,0.77,0.65
HTZ,NMTP7ZQ10EJ1,Paper and forest products,0.76,0.97,0.84,0.67
IPMR,RN5LPDU75YI5,Investment holding companies,0.96,0.51,0.77,0.99
GJCB,DN4DA6W686O9,Homebuilding and construction supplies,0.91,0.98,0.92,0.42
QKWG,BXPH2IDS71C3,Homebuilding and construction supplies,0.76,0.63,0.86,0.98
LJWK,RM2I6CBP9UG7,Hotels and entertainment services,0.84,0.84,0.64,0.91
LLS,BZS14LF49H23,Hotels and entertainment services,0.94,0.5,0.85,0.94
ZEJ,IZTMVO41KQI2,Metals and mining ,0.96,0.98,0.6,0.69
AUL,VFS3X58LWXM5,Specialty retailers,0.8,0.89,0.57,0.97
PYGU,UN2MTK05A5Y4,Aerospace and defense,0.86,0.95,0.89,0.52
QHO,LHC7WQVCDUN9,Beverages,0.86,0.92,0.51,0.93
PDV,RC3HK3RZIR63,Freight and logistics services,0.96,0.85,0.81,0.6
AXDJ,RION954O1K22,Chemicals ,0.32,0.95,0.96,0.99
OOQ,DW4R03JXM7T8,Freight and logistics services,0.51,0.75,0.99,0.97
QCVB,BZLJWT9YHHH2,Homebuilding and construction supplies,0.94,0.82,0.92,0.54
CTYJ,OUOVB0F9ZXA5,Hotels and entertainment services,0.7,0.89,0.82,0.81
NQQ,FX7XGCEVGEX0,Biotechnology and medical research,0.84,0.86,0.95,0.56
RAH,AJ4SEKEWQQ01,Coal ,0.82,0.9,0.54,0.95
ZNB,FK8BJQOB65K0,Collective investments,0.86,0.72,0.87,0.76
GHJZ,JE8KVR82TVQ9,Construction and engineering,0.73,0.65,0.89,0.94
SJL,GAXWB1GGOEJ6,Containers and packaging ,0.92,0.88,0.45,0.96
JJU,LB9JZN6KX7P5,Diversified retail,0.86,0.96,0.79,0.6
RYPU,PWW92M3W4Y61,Homebuilding and construction supplies,0.83,0.65,0.83,0.9
ACFN,YRVU2X2M0MG6,Media and publishing,0.76,0.88,0.94,0.63
FXFP,WDRESJLXYN08,Professional and commercial services,0.89,0.88,0.84,0.6
HQG,KSVYJ2YU4RJ6,Specialty retailers,0.49,0.83,0.91,0.98
SHZ,ZHV8CFBDYSK1,Textiles and apparel,0.95,0.89,0.58,0.79
TDCH,GF1DOHXOPD29,Automobiles and auto parts ,0.72,0.67,0.88,0.93
MEKI,XWVPL6RDSR34,Banking services,0.33,0.95,0.95,0.97
YWM,EZGKKXBDAHH8,Coal ,0.87,0.93,0.87,0.53
VEL,EDQGNVXR92F6,"Computers, phones and household electronics ",0.46,0.82,0.97,0.95
EZT,GO2HCBEMXQN0,Industrial conglomerates,0.98,0.74,0.82,0.66
GWQK,ROUUV74X86V3,"Machinery, tools, heavy vehicles, trains and ships",0.6,0.95,0.89,0.76
IHQ,AI3TO52F5QL4,Metals and mining ,0.88,0.95,0.93,0.44
ENQ,GDFC8KG4U8C2,Natural gas utilities,0.82,0.99,0.81,0.58
SGHA,VROMA5C6UKT7,Oil and gas related equipment and services,0.63,0.9,0.74,0.93
GRQD,CPC7SYYE02D6,Aerospace and defense,0.83,0.51,0.96,0.9
SBUA,FEJOYJS6USE7,Collective investments,0.76,0.85,0.8,0.78
IGCZ,IABUWGRKKKF1,Construction and engineering,0.97,0.83,0.41,0.98
HGTR,GS8PV55F9UH9,Construction materials ,0.83,0.99,0.5,0.87
FLR,GRNFK7F6MMD7,Healthcare equipment and supplies,0.88,0.63,0.7,0.98
NQCY,PMUCB4K7QYD6,Homebuilding and construction supplies,0.69,0.87,0.81,0.82
CLJ,IXMP027RX1F2,Metals and mining ,0.44,0.96,0.91,0.88
ZEZL,XYGBDB4IMC29,Professional and commercial services,0.87,0.99,0.66,0.67
ZCMX,SWPQ4VBRTXR2,Software and IT services,0.67,0.69,0.91,0.92
SDZD,LCTM2XG2NWD4,Semiconductors,0.85,0.83,0.54,0.97
OQNZ,QTHHH7W71JB4,Water and related utilities,0.69,0.77,0.76,0.97
ZZYP,NDY6E3KXCVC0,Automobiles and auto parts ,0.88,0.78,0.81,0.71
FYF,SYRF83UCG4W9,Construction materials ,0.97,0.74,0.87,0.6
AGL,CLJ1B4X8FAB2,Oil and gas,0.65,0.61,0.94,0.98
PTS,LXBQV1U2V0A8,Personal and household,0.98,0.65,0.78,0.77
EIC,GTLQUMPB3EV1,Coal ,0.78,0.66,0.79,0.95
TQML,RXFYNMXCLJX9,Diversified industries,0.7,0.89,0.8,0.79
TQM,UC1SX6LKUQX8,Hotels and entertainment services,0.64,0.55,0.99,1
MCF,NZAEKVIDZM65,Paper and forest products,0.41,0.88,0.9,0.99
DIMC,MQDGC3MRYUN2,"Machinery, tools, heavy vehicles, trains and ships",0.66,0.75,0.78,0.98
UYQ,HJPM9WFJM9S5,Healthcare equipment and supplies,0.62,0.76,0.89,0.9
FBUA,DS1ZIRIWDZ73,Insurance,0.32,0.91,0.98,0.96
EIY,PEZQ1FFHNTR7,Leisure products,0.91,0.94,0.73,0.59
HHF,CN4MKUNFA2G6,"Machinery, tools, heavy vehicles, trains and ships",0.88,0.85,0.59,0.85
GBNC,MHNHT8WJOKS4,Metals and mining ,0.58,0.96,0.9,0.73
UMLJ,IQ0SQC52H5Z1,Passenger transportation services,0.99,0.56,0.87,0.75
MYJL,UT8OU8JGGTQ6,Textiles and apparel,0.88,0.67,0.9,0.72
UFR,RM726NMGLJ36,Automobiles and auto parts ,0.84,0.78,0.73,0.81
IMJ,LIZQJ4NDK5Q3,Pharmaceuticals,0.96,0.78,0.71,0.71
HWVB,TQ845PHXDLI1,Healthcare providers and services,0.75,0.86,0.95,0.6
CUYG,YEJX54E242B8,Homebuilding and construction supplies,0.91,0.99,0.95,0.31
BIE,OM0UHFLBVS36,Pharmaceuticals,0.99,0.94,0.29,0.94
VMTG,SFIKMR7WAAA9,Construction materials ,0.64,0.84,0.89,0.78
UZD,GGDD0DDCTR85,Hotels and entertainment services,0.65,0.95,0.55,1
JUZ,AS2CEM28LX23,Professional and commercial services,0.82,0.85,0.49,0.99
ESL,VU85U5F2YNK9,Semiconductors,0.72,0.98,0.54,0.91
EEHP,TZ4EOY7JXYE7,"Computers, phones and household electronics ",0.86,0.92,0.52,0.85
TRLH,XSS3B24VKEX3,Oil and gas related equipment and services,0.86,0.82,0.7,0.77
IZC,FNI43YM0EDZ7,Pharmaceuticals,0.89,0.94,0.46,0.86
HVUQ,HQPNCH1A7RZ2,Insurance,0.8,0.58,0.82,0.95
YAYP,LUVR40SK99Y7,Pharmaceuticals,0.95,0.83,0.67,0.7
BTXD,KY462J64JSP2,Residential and commercial REITs,0.96,0.7,0.52,0.97
WQES,YEX7HXVJFE94,Aerospace and defense,0.84,0.97,0.55,0.78
BTMS,SKZLHTDIGBU0,Banking services,0.96,0.51,0.74,0.93
DCW,RLP7QXM4SY10,Household goods,0.7,0.8,0.77,0.87
UUGQ,KEF0PLNMB2T8,Oil and gas related equipment and services,0.65,0.85,0.74,0.9
KGVK,WEDG11NIBCT4,Textiles and apparel,0.9,0.76,0.55,0.93
BEVL,LWYUWHTS85P9,Transport infrastructure,0.35,1,0.98,0.81
JREM,GGC0RLPH1AX5,Transport infrastructure,0.67,0.98,0.72,0.77
TWE,NULOM4EAJV77,Transport infrastructure,0.77,0.93,0.76,0.68
EFE,QWBA8TLY6MV9,Homebuilding and construction supplies,0.97,0.88,0.99,0.3
JVZE,TY05X4A3WXP6,Insurance,0.89,0.88,0.86,0.51
SPPH,AICT8L6HSMC5,Investment holding companies,0.79,0.73,0.84,0.78
ZPQ,ALGMEVEXL6F7,Oil and gas,0.7,0.78,0.71,0.95
DMC,RRLW312Q41G8,Real estate operations,0.73,0.82,0.6,0.99
QPGK,VEU7590WCHM0,Software and IT services,0.57,0.75,0.99,0.83
DCTZ,ZBC1ZQZ75D40,Healthcare equipment and supplies,0.37,1,0.78,0.98
INXG,TLQBMH5U8R58,Automobiles and auto parts ,0.89,0.88,0.48,0.88
PPUR,BE3T6TUB1GJ5,Collective investments,0.73,0.67,0.97,0.76
SHVA,KCKNKNWDS3E4,Diversified retail,0.42,0.96,0.83,0.92
PQVG,SYOJV775LFT0,Electronic equipment and parts,0.92,0.99,0.57,0.65
QAQ,JVVRZ4G6Y9O3,Food and drug retailing,0.95,0.7,0.84,0.64
LWK,HR6M9CL3RHT1,Office equipment,0.61,0.85,0.71,0.96
VSGW,KG75AQ2N5FE0,Oil and gas,0.87,0.98,0.58,0.7
XADH,SBPZPUMX3795,Personal and household,0.93,0.63,0.88,0.69
XUJ,FR2XVFABDVO5,Specialty retailers,0.73,0.99,0.91,0.5
NHP,UVV0ZHPEEMB5,Automobiles and auto parts ,0.98,0.71,0.81,0.62
XKTT,TYH1XXUFMIF9,Collective investments,0.94,0.86,0.66,0.66
XNCK,WSWPOGMWAVC3,Household goods,0.72,0.86,0.61,0.93
QBIW,KW4ZCOG14UB2,Industrial conglomerates,0.93,0.99,0.89,0.31
ZQA,LPNPSF3Y5DQ2,Media and publishing,0.92,0.85,0.35,1
HCK,WP7R0O8YYU37,Oil and gas,0.73,0.96,0.67,0.76
JTSI,FURM4P5ICQZ7,Personal and household,0.76,0.64,0.76,0.96
BLYZ,XAV3OES9G3M9,Professional and commercial services,0.72,0.75,0.78,0.87
SYIF,YNB49D6VF350,Real estate operations,0.73,0.86,0.68,0.85
WCE,NW0GB2X1HUJ9,Specialty retailers,0.88,0.78,0.77,0.69
CPGW,ZUYSD5PZH5P4,Water and related utilities,0.94,0.97,0.32,0.89
QJHA,JIL7Q4Y7RAZ3,Healthcare providers and services,0.99,0.45,0.95,0.73
MPSZ,NCBCRKCKSJ57,Office equipment,0.92,0.98,0.24,0.98
VGNP,POBXA2DTCRL3,Electronic equipment and parts,0.32,0.9,0.92,0.97
UNFC,ULP88ZOIUNG8,Healthcare providers and services,0.82,0.39,0.91,0.99
EIQQ,FDERKNLJXV28,Leisure products,0.62,0.98,0.89,0.62
MIP,SJ7UFYHHPUC5,Oil and gas related equipment and services,0.92,0.49,0.9,0.8
TOK,IAF2MH791UQ1,Telecommunications services,0.43,0.93,0.84,0.91
UVU,EPSRUM37TPW5,Aerospace and defense,0.76,0.76,0.63,0.96
QLCG,YZ7IQVAGOZW8,Communications and networking,0.59,0.9,0.66,0.96
NOL,JMFXWNDON537,"Computers, phones and household electronics ",0.98,0.81,0.46,0.86
WYJD,GLUA02UOU4T8,Construction materials ,0.98,0.87,0.69,0.57
HWGA,JLC5HQ104CM0,Hotels and entertainment services,0.83,0.94,0.92,0.42
CTDC,JAVDLNMDP740,Real estate operations,0.85,0.8,0.58,0.88
ESPG,JRX2UU82QQS8,Metals and mining ,0.82,0.96,0.7,0.63
PAJ,YMRMTODJY598,Banking services,0.67,0.7,0.83,0.9
ZYY,NW1NBNV3WJL9,Communications and networking,0.64,0.79,0.85,0.82
WGJ,AI9LEMVOHP17,Investment holding companies,0.9,0.79,0.52,0.89
PBZK,JQ7OTBF8FGQ9,Office equipment,0.84,0.99,0.41,0.86
AYV,SZ3JHE44MPW5,Personal and household,0.94,0.49,0.8,0.87
GWF,JQJ5K7FQD675,Personal and household,0.81,0.83,0.81,0.65
ZIW,MF5MO43JW8L8,Semiconductors,0.92,0.83,0.35,1
INRP,ANL35FI09T19,Textiles and apparel,0.95,0.97,0.27,0.91
QOF,CVGTF14X8YT7,Water and related utilities,0.97,0.73,0.86,0.54
GTSD,CNHVRVWXTP83,Coal ,0.73,0.61,0.92,0.84
IJZH,BTRMUNXAXE13,Diversified industries,0.81,0.38,0.96,0.95
GAK,NEM2RS1HNQ21,Media and publishing,0.9,0.69,0.97,0.54
EETT,FKAQ1EGGKHI0,Oil and gas related equipment and services,0.91,0.64,0.71,0.84
MJM,AGJADL4ROZ11,Homebuilding and construction supplies,0.57,0.8,0.99,0.73
NGV,EPN99G2UKHY2,Natural gas utilities,0.91,0.46,0.74,0.98
ZSJF,CIW609OWJIL7,Chemicals ,0.94,0.8,0.65,0.7
HML,FN5DGXQSLQI6,Electric utilities and IPPs,0.98,0.71,0.93,0.47
EQN,GADKMKEYET72,Healthcare equipment and supplies,0.87,0.83,0.8,0.59
IZJR,LYP7IJ3XMG96,Hotels and entertainment services,0.72,0.91,0.55,0.91
RBS,WKYBNETPWTV8,Oil and gas,0.87,0.74,0.79,0.69
JXC,MDFF6RHI2GH8,Passenger transportation services,0.96,0.53,0.97,0.63
EKAH,MSLQ2F9KP1O0,Specialty retailers,0.41,0.86,0.96,0.86
MYS,IBCAPNCXAGC3,Aerospace and defense,0.56,0.91,0.88,0.73
HGT,YU1HPYHE6D00,Banking services,0.81,0.92,0.79,0.56
MCSA,RD4ZWQ4Q28I1,Coal ,0.65,0.92,0.59,0.92
FYKT,VPY75O7HTL11,Construction materials ,0.78,0.83,0.81,0.66
DZCN,GZZMBBVSPLW7,Hotels and entertainment services,0.94,0.77,0.99,0.38
SKPO,NQV6DHRILLP4,Natural gas utilities,0.64,0.97,0.87,0.6
HXHW,EYKTOGE1Z9B7,Oil and gas related equipment and services,0.93,0.71,0.58,0.86
MVSV,XOI4TV984TX8,Oil and gas related equipment and services,0.96,0.93,0.66,0.53
EMOW,QFFVBPBJ8JZ1,Personal and household,0.69,0.85,0.78,0.76
ZEGZ,KAN4FZQQ0OX9,Residential and commercial REITs,0.96,0.8,0.34,0.98
BHP,BXUWJKUJ8E64,Multiline utilities,0.58,0.87,0.81,0.82
QNA,XMUON43D6UK0,Personal and household,0.77,0.45,0.96,0.9
BCE,YTR7P6IN5WK4,Food and drug retailing,0.93,0.74,0.87,0.53
GSYE,UU5WQVCUA8J9,Multiline utilities,0.93,0.91,0.97,0.26
KVVQ,PPR9LUW4KG12,Pharmaceuticals,0.86,0.72,0.87,0.62
UGDB,HQFAVZF50CG2,Banking services,0.32,0.95,0.86,0.94
AAF,MDL14YYSBTI8,Construction materials ,0.83,0.39,0.91,0.94
YKC,ZQUTVLX5N6X3,Construction materials ,0.53,0.98,0.64,0.92
MFA,UBUPVNURMDG2,Hotels and entertainment services,0.59,0.96,0.9,0.62
REZ,DTHERJA4YR67,Uranium,0.53,0.85,0.76,0.93
QTZ,QM8TSNINWV33,Chemicals ,0.5,0.99,0.89,0.68
TNDN,EOM5MUA7OFI0,Coal ,0.35,0.77,0.98,0.96
QHI,CF187LJ7CMD9,Construction and engineering,0.76,0.83,0.68,0.79
DHMD,MNFRR5J9C1U9,Diversified retail,0.99,0.55,0.67,0.85
QTB,TBC5RIKBOCS5,Food and tobacco,0.61,0.79,0.89,0.77
GSJ,MYRRC1HEOI36,Healthcare providers and services,0.82,0.8,1,0.44
YQX,TPTYBDXJ6JN5,Investment holding companies,0.86,0.34,0.97,0.89
USF,YH5UO3NKKZT9,Passenger transportation services,0.8,0.5,0.91,0.85
LBBI,EK9OIYESOWB0,Real estate operations,0.99,0.97,0.48,0.62
CTZ,TCK0W06XHNA8,Coal ,0.9,0.73,0.9,0.53
SGCJ,YPHNPSTYPPC5,Coal ,0.79,0.49,0.81,0.97
MBML,FCLF8UUO7TO5,Oil and gas related equipment and services,0.43,0.98,0.93,0.72
VOZ,LFNL8B4R9NS4,Residential and commercial REITs,0.64,0.98,0.79,0.64
UOVP,FGJZTKZB26C1,Banking services,0.75,0.85,0.48,0.97
ISFM,KRGUCZJUPHR8,Chemicals ,0.9,0.36,0.99,0.8
SCMV,HAW0H7JQB3O5,Communications and networking,0.81,0.86,0.54,0.84
KPML,YDN62OMN7GF0,"Computers, phones and household electronics ",0.85,0.82,0.41,0.97
OLTG,ULVR9CHGA624,Construction and engineering,0.77,0.54,0.84,0.9
PLW,GW4U191OOZ20,Investment banking and investment services,0.66,0.84,0.8,0.75
AGF,LTT3L63H7AT1,Leisure products,0.81,0.86,0.48,0.9
PQXP,EBSR6DO5HBE1,Media and publishing,0.88,0.71,0.47,0.99
QYY,YJWV861OQPO5,Office equipment,0.27,0.99,0.89,0.9
UGO,BACSLVM3SKK6,Personal and household,0.7,0.75,0.97,0.63
DTC,FW29M2SAW0L9,Uranium,0.37,0.95,0.98,0.75
RNT,DZXCV5GTEI08,Uranium,0.84,0.9,0.93,0.38
AFL,NX35YCHBYN65,Beverages,0.55,0.8,0.99,0.7
MLII,ACMUK4AR7YA8,Beverages,0.95,0.89,0.94,0.26
SDI,JSA1V16BUZQ3,Beverages,0.77,0.62,0.84,0.81
TRD,EHFYM2UVG1H9,Communications and networking,0.93,0.83,0.33,0.95
WEAS,CDZQ7AMQ9PT9,Construction materials ,0.56,0.91,0.96,0.61
MEJA,TYABMT1B99L7,Diversified industries,0.53,0.55,0.97,0.99
PSQV,ZY97QKCFZFF2,Healthcare providers and services,0.83,0.57,0.9,0.74
TZIR,XUNAN40DOCO4,Homebuilding and construction supplies,0.67,0.72,0.73,0.92
KCQZ,HP60AH7LBH75,Insurance,0.96,0.94,0.18,0.96
GRDG,BDG7CZOOCTG9,Investment banking and investment services,0.88,0.79,0.89,0.48
KRCA,KMGK99Y9R8G1,Metals and mining ,0.55,1,0.92,0.57
JSB,OR9A54IMEKE0,Specialty retailers,0.84,0.58,0.92,0.7
